language	group	family	glottocode	color
Aghul	Lezgic	Nakh-Daghestanian	aghu1253	#FA8072
Akhvakh	Andic	Nakh-Daghestanian	akhv1239	#4169E1
Andi	Andic	Nakh-Daghestanian	andi1255	#00BFFF
Archi	Lezgic	Nakh-Daghestanian	arch1244	#8B0000
Armenian	Armenian	Indo-European	nucl1235	#FFF8DC
Avar	Avar	Nakh-Daghestanian	avar1256	#8A2BE2
Bagvalal	Andic	Nakh-Daghestanian	bagv1239	#191970
Bats	Nakh	Nakh-Daghestanian	bats1242	#BC8F8F
Bezhta	Tsezic	Nakh-Daghestanian	bezh1248	#808000
Botlikh	Andic	Nakh-Daghestanian	botl1242	#4682B4
Budukh	Lezgic	Nakh-Daghestanian	budu1248	#E9967A
Chamalal	Andic	Nakh-Daghestanian	cham1309	#0000FF
Chechen	Nakh	Nakh-Daghestanian	chec1245	#DAA520
Dargwa	Dargwa	Nakh-Daghestanian	darg1241	#00FF7F
Godoberi	Andic	Nakh-Daghestanian	ghod1238	#00FFFF
Hinuq	Tsezic	Nakh-Daghestanian	hinu1240	#6B8E23
Hunzib	Tsezic	Nakh-Daghestanian	hunz1247	#8FBC8F
Ingush	Nakh	Nakh-Daghestanian	ingu1240	#D2691E
Karata	Andic	Nakh-Daghestanian	kara1474	#1E90FF
Khinalugh	Khinalugh	Nakh-Daghestanian	khin1240	#FF00FF
Kryz	Lezgic	Nakh-Daghestanian	kryt1240	#FFA07A
Kumyk	Kipchak	Turkic	kumy1244	#D3D3D3
Lak	Lak	Nakh-Daghestanian	lakk1252	#FFFF00
Lezgian	Lezgic	Nakh-Daghestanian	lezg1247	#CD5C5C
Nogai	Kipchak	Turkic	noga1249	#DCDCDC
North Azerbaijani	West Oghuz	Turkic	nort2697	#FFFFF0
Rutul	Lezgic	Nakh-Daghestanian	rutu1240	#B22222
Tabasaran	Lezgic	Nakh-Daghestanian	taba1259	#DC143C
Tindi	Andic	Nakh-Daghestanian	tind1238	#6495ED
Tsakhur	Lezgic	Nakh-Daghestanian	tsak1249	#F08080
Tsez	Tsezic	Nakh-Daghestanian	dido1241	#556B2F
Udi	Lezgic	Nakh-Daghestanian	udii1243	#DB7093
Xvarshi	Tsezic	Nakh-Daghestanian	khva1239	#2F4F4F
