name	lat	lon	language
Белъелда	NA	NA	Avar
Гъерел	NA	NA	Avar
Гъортноб	NA	NA	Avar
Кайса	NA	NA	Avar
Паркет	NA	NA	Avar
Цалда	NA	NA	Avar
Ч1орода	NA	NA	Avar
Nidzh	40.94	47.66833	Udi
Oguz	41.07083	47.45833	Udi
Khaput	41.142778	48.194444	Kryz
Alyk	41.1775	48.23694	Kryz
Khynalyg	41.17778	48.12694	Khinalugh
Budug	41.18611	48.36861	Budukh
Dzhek	41.19694	48.24167	Kryz
Yergyudzh	41.209167	48.283056	Kryz
Kryz	41.21556	48.24667	Kryz
Kryz-Dekhne	41.234681	48.304612	Kryz
Fiy	41.289126	47.564416	Lezgian
Gdym	41.30884	47.4668	Lezgian
Tekipirkent	41.34201	47.88615	Lezgian
Ukhul	41.35303	47.74081	Lezgian
Kaladzhukh	41.366176	47.908075	Lezgian
Mikrakh	41.37481	47.882489	Lezgian
Khnov	41.378607	47.443605	Rutul
Kiler	41.37989	47.90199	Lezgian
Smugul	41.381678	47.633713	Lezgian
Kerimkhanar	41.38344	47.90279	Lezgian
Gandurar	41.38569	47.90811	Lezgian
Esetar	41.38995	47.91008	Lezgian
Midzhakh	41.395434	47.6411	Lezgian
Demirar	41.400895	47.908161	Lezgian
Chuvalar	41.40603	47.9094	Lezgian
Karakyure	41.417413	47.962618	Lezgian
Dzhaba	41.424175	47.775397	Lezgian
Miskindzha	41.4242	47.8428	Lezgian
Usukhchay	41.424736	47.922987	Lezgian
Kurukal	41.43333	47.6875	Lezgian
Novoe Karakyure	41.439123	47.948062	Lezgian
Gdynk	41.457263	47.657293	Lezgian
Akhty	41.45904	47.746695	Lezgian
Kaluk	41.47193	47.65696	Lezgian
Khkem	41.4723	47.76363	Lezgian
Maka-Kazmalyar	41.475347	48.017994	Lezgian
Kaka	41.478513	47.636857	Lezgian
Garakh	41.48148	48.04608	Lezgian
Lutkun	41.4844	47.6861	Lezgian
Khryug	41.4892	47.6044	Lezgian
Zrykh	41.49105	47.564736	Lezgian
Khlyut	41.496274	47.533824	Lezgian
Bakhtsug	41.50975	47.95065	Lezgian
Mugergan	41.519797	48.175977	Lezgian
Kochkhyur (Kuchkhyur)	41.5225	47.86562	Lezgian
Akhnig	41.5232	47.99481	Lezgian
Lakun	41.52402	47.53252	Lezgian
Kiche	41.53146	47.48171	Rutul
Yalak	41.532245	47.605391	Lezgian
Rutul	41.5342	47.4269	Rutul
Kirka	41.5369	48.1894	Lezgian
Khorel'	41.53763	48.20011	Lezgian
Həsənbinə	41.543056	46.480278	Avar
Kutul	41.54576	47.9666	Lezgian
Aşağı Çardaxlar	41.5458116	46.3375424	Avar
Dzhepel'	41.54977	48.21947	Lezgian
Igrakh	41.5525	47.52831	Lezgian
Danaçı	41.5539955	46.3888687	Avar
Shtul	41.554702	47.919293	Lezgian
Khyurekhyur	41.5591	47.7417	Lezgian
Kabir	41.5592	48.0444	Lezgian
Gil'yar	41.559978	48.256089	Lezgian
Ikra	41.5633	48.0094	Lezgian
Yolayrıc	41.563889	46.486389	Avar
Kufa	41.564115	47.376937	Rutul
Zukhrabkent	41.56687	48.1529	Lezgian
Vöhtala	41.57	46.517222	Avar
Kuysun	41.57303	48.28712	Lezgian
Höytala	41.580278	46.493333	Avar
Kurdul	41.581424	47.177309	Tsakhur
Iche	41.58146	47.509933	Lezgian
Khnyukh	41.58289	47.43299	Rutul
Tatarkhankent	41.58361	48.09608	Lezgian
Khtun	41.58408	48.1739	Lezgian
Kurakh	41.5842	47.7842	Lezgian
Ptikent	41.58452	48.10959	Lezgian
Yuxarı Çardaxlar	41.5847495	46.7100901	Avar
Saytarkent	41.58508	48.12701	Lezgian
Maqov	41.590556	46.493889	Avar
Piperkent	41.59186	48.14726	Lezgian
Ashakent	41.59479	47.87241	Lezgian
Rugun	41.595917	47.995977	Lezgian
Kakhtsug	41.59957	48.06005	Lezgian
Butkent	41.60008	48.17998	Lezgian
Kukvaz	41.60103	47.70543	Lezgian
Sarag	41.60273	48.0164	Lezgian
Ullugatag	41.6031	48.1256	Lezgian
Aşağı Tala	41.603333	46.639444	Avar
Amsar	41.60348	47.33116	Rutul
Shikhikent	41.604121	48.165102	Lezgian
Abaəli	41.604701	46.5362941	Avar
Paşan	41.606389	46.481389	Avar
Dardoqqaz	41.6096771	46.5362028	Avar
Luchek	41.60988	47.307307	Rutul
Çökəkoba	41.611111	46.645833	Avar
Ispik	41.61489	48.19118	Lezgian
Uzuntala	41.615556	46.451667	Avar
Ashar	41.615664	47.663417	Lezgian
Zaqatala	41.615991	46.60675	Avar
Göyəm	41.6163962	46.5834152	Avar
Kina	41.6166	47.2647	Rutul
Sumaylı	41.6172706	46.5632128	Avar
Magaramkent	41.6186	48.3514	Lezgian
Shinaz	41.618658	47.375666	Rutul
Khpedzh	41.62212	47.72586	Lezgian
Tuyurbina	41.62333	46.55694	Avar
Yuxarı Tala	41.623333	46.660556	Avar
Yukhari-Kartas	41.62364	48.10125	Lezgian
Gel'mets	41.62466	47.17889	Tsakhur
Asalikent	41.6298	48.16777	Lezgian
Sal'yan	41.63006	48.19895	Lezgian
Biçiqarbinə	41.631667	46.363056	Avar
Ashagakartas	41.63177	48.1193	Lezgian
Mollaçibinə	41.633333	46.45	Avar
Novyy Ispik	41.63566	48.18933	Lezgian
Püştətala	41.637222	46.409167	Avar
Mikikh	41.63753	47.16822	Tsakhur
Beretbinə	41.638056	46.477222	Avar
Mazımqarışan	41.638889	46.263056	Avar
Kebeloba	41.6410078	46.6324353	Avar
Zilban	41.6450246	46.6569721	Avar
Vrush	41.646787	47.310094	Rutul
Roçəhməd	41.648333	46.386944	Avar
Khnyakh	41.648441	47.153831	Tsakhur
Syugut	41.64944	47.11833	Tsakhur
Tsakhur	41.651115	47.135943	Tsakhur
Shimikhyur	41.6539	47.6994	Lezgian
Dzhilikhur	41.65545	47.26768	Rutul
Tselyagyun	41.6569	48.2889	Lezgian
Katex	41.6570438	46.4771274	Avar
Muslakh	41.65889	47.11185	Tsakhur
Gel'khen	41.659002	47.602833	Lezgian
Mazıx	41.6607203	46.5466254	Avar
Akhvakh-Dere	41.6624507	46.6360615	Akhvakh
Car	41.6630304	46.6411466	Avar
Mishlesh	41.6649	47.089775	Tsakhur
Tsudik	41.66611	47.28056	Rutul
Khpyuk	41.66667	47.66667	Aghul
Ottal	41.667678	47.012864	Tsakhur
Myukhrek	41.667696	47.280013	Rutul
Kachalkent	41.66885	48.04288	Lezgian
Korsh	41.66952	47.06211	Tsakhur
Dzhinykh	41.67245	47.04479	Tsakhur
Usug	41.672481	47.594624	Aghul
Aran	41.67389	47.24639	Rutul
Kasumkent	41.6789	48.1394	Lezgian
Kvardal	41.6803	47.56277	Aghul
Ashaga-Stal-Kazmalyar	41.681705	48.218336	Lezgian
Ichin	41.68263	47.99189	Lezgian
Tsmur	41.6842	48.0567	Lezgian
Kal'yal	41.684366	47.003665	Tsakhur
Qəbizdərə	41.6937098	46.5720532	Avar
Ikhrek	41.693931	47.210005	Rutul
Ukuz	41.696017	47.591355	Aghul
Novyy Usur	41.69639	48.35444	Lezgian
Tsnal	41.69641	47.99767	Lezgian
Ashaga-Stal	41.69724	48.19462	Lezgian
Yukhari-Zakhit	41.69779	47.9426	Lezgian
Şambul	41.699167	46.275	Avar
Çədərovtala	41.7002104	46.2805503	Avar
Mukhakh	41.70068	46.991105	Tsakhur
Khveredzh	41.70206	47.57218	Aghul
Saidkent	41.70213	48.11319	Lezgian
Meşəşambul	41.703333	46.273333	Avar
Orta-Stal	41.70335	48.17075	Lezgian
Gereykhanovskoe	41.7047	48.2869	Lezgian
But-Kazmalyar	41.705274	48.396665	Lezgian
Yukhari-Stal	41.70734	48.1548	Lezgian
Tslak	41.71272	47.93997	Lezgian
Kurkent	41.7133	48.1094	Lezgian
Bedyuk	41.716044	47.525715	Aghul
Alkadar	41.7163	48.08667	Lezgian
Trkal	41.716681	47.970481	Lezgian
Xalatala	41.7168652	46.1896965	Avar
Filya	41.71803	48.46103	Lezgian
Ashaga-Tsinit	41.72324	48.00882	Lezgian
Khodzha-Kazmalyar	41.72534	48.438	Lezgian
Sardarkent	41.7255	48.0622	Lezgian
Novyy Aul	41.731837	48.399957	Lezgian
Zakhit	41.732197	48.369784	Lezgian
Şərif	41.733333	46.25	Avar
Ashaga-Arkhit	41.734607	47.97302	Lezgian
Qullar	41.736667	46.448333	Avar
